complete_sentence,question_text,english_translation,hint,alternate_correct_responses,option_a,option_b,option_c,option_d,correct_option,cefr_level,topic,explanation,resource
La borsa è nuova.,La borsa è ___.,The bag is new.,,,nuovo,nuova,nuovi,nuove,B,A1,Aggettivi (accordo e uso),"Adjectives must agree with the noun in gender and number. 'Borsa' is feminine singular, so the adjective must be 'nuova'.",https://www.lawlessitalian.com/grammar/adjective-agreement/
I ragazzi sono alti.,I ragazzi sono ___.,The boys are tall.,,,alto,alta,alti,alte,C,A1,Aggettivi (accordo e uso),"Adjectives must agree with the noun in gender and number. 'Ragazzi' is masculine plural, so the adjective must be 'alti'.",https://www.lawlessitalian.com/grammar/adjective-agreement/
Oggi piove.,Oggi ___.,It's raining today.,,,piove,piova,piovere,piovendo,A,A1,Meteo (vocabolario),'Piovere' (to rain) is conjugated as 'piove' in third person singular present tense for weather expressions.,https://www.lawlessitalian.com/vocabulary/weather/
Le amiche sono simpatiche.,Le ___ sono simpatiche.,The female friends are nice.,,,amico,amica,amici,amiche,D,A1,Nomi (genere e numero),'Amica' (female friend) becomes 'amiche' in the plural. The definite article 'le' indicates feminine plural.,https://www.lawlessitalian.com/grammar/plural-nouns/
Il libro è sul tavolo.,Il libro è ___ tavolo.,The book is on the table.,,,sul,nel,del,al,A,A1,Preposizioni semplici,The preposition 'su' (on) contracts with the definite article 'il' to form 'sul'.,https://www.lawlessitalian.com/grammar/contractions/
Mi fanno male i piedi.,Mi fanno male i ___.,My feet hurt.,,,piede,piedi,piedes,pioda,B,A1,Corpo (vocabolario),'Piede' (foot) is masculine and becomes 'piedi' in the plural. The definite article 'i' indicates masculine plural.,https://www.lawlessitalian.com/vocabulary/body-parts/
Noi vendiamo la casa.,Noi ___ la casa.,We sell the house.,,,vendere,vendo,vendiamo,vendete,C,A1,Presente indicativo: verbi regolari -ere,"For -ere verbs in present tense, the first person plural (noi) ending is -iamo: vendere → vendiamo.",https://www.lawlessitalian.com/grammar/present-tense-regular/
L'inverno è freddo.,___ è freddo.,Winter is cold.,,,L'inverno,L'inverni,Inverno,Inverni,A,A1,Stagioni (vocabolario),'Inverno' (winter) is masculine singular and takes the definite article 'l'' due to the vowel beginning.,https://www.lawlessitalian.com/vocabulary/seasons/
Io mi sveglio alle sette,Write: I wake up at seven.,I wake up at seven.,,Mi sveglio alle sette.,Io mi sveglio alle sette,Io mi alzo alle sette,Io sveglio alle sette,Io mi svegli alle sette,A,A1,Routine quotidiana,'Svegliarsi' (to wake up) is a reflexive verb. First person singular: io mi sveglio.,https://www.lawlessitalian.com/grammar/reflexive-verbs/
La mia macchina è rossa e veloce.,La mia ___ è rossa e veloce.,My car is red and fast.,,,macchina,macchino,macchine,macchini,A,A1,Nomi (genere e numero),"Macchina is feminine singular, so it takes the feminine singular article 'la'.",https://www.lawlessitalian.com/grammar/nouns/
Noi scriviamo una lettera ai nostri amici.,Noi ___ una lettera ai nostri amici.,We write a letter to our friends.,,,scriviamo,scrivete,scrivono,scrivo,A,A1,Presente indicativo: verbi regolari -ere,The first person plural (noi) form of scrivere is scriviamo.,https://www.lawlessitalian.com/grammar/present-tense/
Loro ricevono molte email ogni giorno.,Loro ___ molte email ogni giorno.,They receive many emails every day.,,,ricevono,ricevi,riceviamo,riceve,A,A1,Presente indicativo: verbi regolari -ere,The third person plural (loro) form of ricevere is ricevono.,https://www.lawlessitalian.com/grammar/present-tense/
Il cielo è azzurro oggi.,Il cielo è ___ oggi.,The sky is light blue today.,,blu,azzurro,azzurra,azzurri,azzurre,A,A1,Colori (vocabolario),Azzurro agrees with the masculine singular noun 'cielo'.,https://www.lawlessitalian.com/vocabulary/colors/
Gli studenti studiano nell'aula.,___ studenti studiano nell'aula.,The students study in the classroom.,,,Gli,Le,Il,La,A,A1,Articoli determinativi,Gli is the masculine plural definite article used before studenti.,https://www.lawlessitalian.com/grammar/definite-articles/
"Scusi, il conto per favore.","Scusi, ___ per favore.","Excuse me, the check please.",,,il conto,la conto,i conti,le conte,A,A1,Ristorante (frasi e vocabolario),Il conto (masculine singular) is the standard phrase for asking for the check in a restaurant.,https://www.lawlessitalian.com/vocabulary/restaurant/
La nostra casa è molto grande.,La ___ casa è molto grande.,Our house is very big.,,,nostra,nostro,nostre,nostri,A,A1,Aggettivi possessivi,Nostra agrees with the feminine singular noun 'casa'.,https://www.lawlessitalian.com/grammar/possessive-adjectives/
Che bella giornata!,Che ___ giornata!,What a beautiful day!,,,bella,bello,belle,belli,A,A1,Espressioni comuni,Bella agrees with the feminine singular noun 'giornata'.,https://www.lawlessitalian.com/grammar/adjectives/
Questa casa è bella.,___ casa è bella.,This house is beautiful.,,,Questa,Questo,Questi,Queste,A,A1,Dimostrativi,"Demonstrative adjectives must agree with the noun. 'Casa' is feminine singular, so use 'questa'.",https://www.lawlessitalian.com/grammar/demonstrative-adjectives/
Mi chiamo Anna.,Mi ___ Anna.,My name is Anna.,,,chiamo,chiami,chiama,chiamano,A,A1,Saluti e presentazioni,'Chiamarsi' (to be called) is reflexive. First person singular: io mi chiamo.,https://www.lawlessitalian.com/grammar/reflexive-verbs/
Piacere di conoscerla.,Piacere di ___.,Nice to meet you.,formal,,conoscerti,conoscerla,conoscere,conosciuto,B,A1,Saluti e presentazioni,"In formal situations, use 'conoscerla' (to meet you - Lei form) rather than 'conoscerti' (tu form).",https://www.lawlessitalian.com/grammar/formal-vs-informal/
Io devo studiare.,Io ___ studiare.,I have to study.,,,devo,devi,deve,devono,A,A1,"Verbi modali (potere, dovere, volere)",'Dovere' (must/have to) is an irregular modal verb. First person singular: io devo.,https://www.lawlessitalian.com/grammar/modal-verbs/
Lei è italiana.,Lei è ___.,She is Italian.,from Italy,,Italia,italiana,italiano,italiane,B,A1,"Geografia (paesi, città, nazionalità)","Nationality adjectives agree with gender. 'Lei' is feminine, so use 'italiana'.",https://www.lawlessitalian.com/vocabulary/countries-nationalities/
Voi scrivete una lettera.,Voi ___ una lettera.,You (all) write a letter.,,,scrivo,scrivi,scrive,scrivete,D,A1,Presente indicativo: verbi regolari -ere,"For -ere verbs in present tense, the second person plural (voi) ending is -ete: scrivere → scrivete.",https://www.lawlessitalian.com/grammar/present-tense-regular/
Il bagno è piccolo.,Il ___ è piccolo.,The bathroom is small.,,,bagno,bagni,bagna,bagne,A,A1,Casa (vocabolario),"'Bagno' (bathroom) is masculine singular, matching the definite article 'il'.",https://www.lawlessitalian.com/vocabulary/house-home/
C'è un gatto nel giardino.,___ un gatto nel giardino.,There is a cat in the garden.,,,C'è,Ci sono,È,Sono,A,A1,C'è / Ci sono,Use 'c'è' (there is) with singular nouns and 'ci sono' (there are) with plural nouns.,https://www.lawlessitalian.com/grammar/ce-ci-sono/
L'ospedale è dietro alla scuola.,L'ospedale è ___ alla scuola.,The hospital is behind the school.,,,davanti,dietro,sopra,sotto,B,A1,Direzioni e luoghi in città,"'Dietro' means 'behind'. Common prepositions of place include davanti (in front), dietro (behind), sopra (above), sotto (below).",https://www.lawlessitalian.com/grammar/prepositions/
Noi siamo studenti,Write: We are students.,We are students.,,Siamo studenti,Noi siamo studenti,Noi siamo studentessa,Noi è studenti,Noi sono studenti,A,A1,Verbo essere (to be),The verb 'essere' (to be) conjugated with 'noi' (we) is 'siamo'. 'Studenti' is the masculine plural form used for mixed or unspecified gender groups.,https://www.lawlessitalian.com/grammar/essere/
Mio fratello è un dottore molto bravo.,Mio fratello è un ___ molto bravo.,My brother is a very good doctor.,,medico,dottore,dottoressa,ingegnere,professoressa,A,A1,Professioni (vocabolario),"Dottore is the masculine form for doctor, agreeing with 'mio fratello'.",https://www.lawlessitalian.com/vocabulary/professions/
Io ho una sorella più piccola.,Io ___ una sorella più piccola.,I have a younger sister.,,,ho,hai,ha,hanno,A,A1,Verbo avere (to have),The first person singular (io) form of avere is ho.,https://www.lawlessitalian.com/grammar/avere/
A colazione io bevo sempre il caffè.,A colazione io bevo sempre il ___.,At breakfast I always drink coffee.,,,caffè,tè,latte,succo,A,A1,Cibo e bevande (vocabolario),Il caffè is the most common breakfast drink in Italy.,https://www.lawlessitalian.com/vocabulary/food-drink/
Io non mangio la carne.,Io ___ mangio la carne.,I don't eat meat.,,,non,mai,molto,sempre,A,A1,Forme negative semplici,Non is placed directly before the verb to form simple negation.,https://www.lawlessitalian.com/grammar/negation/
Lei non parla inglese molto bene.,Lei ___ parla inglese molto bene.,She doesn't speak English very well.,,,non,mai,poco,sempre,A,A1,Forme negative semplici,Non is the basic negation particle placed before the verb.,https://www.lawlessitalian.com/grammar/negation/
Noi parliamo italiano in classe.,Noi ___ italiano in classe.,We speak Italian in class.,,,parliamo,parlate,parlano,parlo,A,A1,Presente indicativo: verbi regolari -are,The first person plural (noi) form of parlare is parliamo.,https://www.lawlessitalian.com/grammar/present-tense/
Le mie amiche sono molto simpatiche.,Le mie amiche sono molto ___.,My friends are very nice.,feminine plural,,simpatiche,simpatico,simpatica,simpatici,A,A1,Aggettivi (accordo e uso),Simpatiche agrees with the feminine plural noun 'amiche'.,https://www.lawlessitalian.com/grammar/adjectives/
Tu dormi otto ore ogni notte.,Tu ___ otto ore ogni notte.,You sleep eight hours every night.,,,dormi,dormo,dorme,dormono,A,A1,Presente indicativo: verbi regolari -ire,The second person singular (tu) form of dormire is dormi.,https://www.lawlessitalian.com/grammar/present-tense/
La farmacia è vicino alla piazza.,La farmacia è ___ alla piazza.,The pharmacy is near the square.,,,vicino,lontano,davanti,dietro,A,A1,Direzioni e luoghi in città,Vicino means 'near' and is used with 'a' to indicate proximity to a place.,https://www.lawlessitalian.com/vocabulary/directions/
Mia sorella è una brava dottoressa.,Mia sorella è una brava ___.,My sister is a good doctor.,feminine profession,,dottoressa,dottore,medico,infermiera,A,A1,Professioni (vocabolario),"Professions must agree in gender with the person. Since 'sorella' is feminine, we use 'dottoressa' (female doctor).",https://www.lawlessitalian.com/grammar/nouns/professions/
Io ho vent'anni.,Io ___ vent'anni.,I am twenty years old.,,,ho,sono,hai,è,A,A1,Verbo avere (to have),"To express age in Italian, use 'avere' (to have) + number + 'anni'. 'Ho' is the first person singular form of 'avere'.",https://www.lawlessitalian.com/grammar/verbs/avere/
Lei non ha tempo libero.,Lei ___ ha tempo libero.,She doesn't have free time.,,,non,ne,no,nessun,A,A1,Forme negative semplici,The negation 'non' is placed directly before the verb to create negative sentences.,https://www.lawlessitalian.com/grammar/negation/
Noi mangiamo la pasta ogni sera.,Noi ___ la pasta ogni sera.,We eat pasta every evening.,,,mangiamo,mangiano,mangia,mangi,A,A1,Presente indicativo: verbi regolari -are,"For -are verbs in present tense, the 'noi' (we) form ends in -iamo. 'Mangiare' becomes 'mangiamo'.",https://www.lawlessitalian.com/grammar/verbs/present-tense/
La mia macchina nuova è molto veloce.,La mia macchina ___ è molto veloce.,My new car is very fast.,,,nuova,nuovo,nuovi,nuove,A,A1,Aggettivi (accordo e uso),"Adjectives must agree in gender and number with the noun they modify. 'Macchina' is feminine singular, so 'nuovo' becomes 'nuova'.",https://www.lawlessitalian.com/grammar/adjectives/agreement/
La biblioteca è accanto al museo.,La biblioteca è ___ al museo.,The library is next to the museum.,,,accanto,dentro,sopra,sotto,A,A1,Direzioni e luoghi in città,'Accanto a' means 'next to' or 'beside' when describing the location of places in the city.,https://www.lawlessitalian.com/vocabulary/prepositions/
Io parlo italiano con mia nonna.,___ parlo italiano con mia nonna.,I speak Italian with my grandmother.,,,Io,Tu,Lei,Noi,A,A1,Pronomi soggetto,"Subject pronouns in Italian: io (I), tu (you informal), lui/lei (he/she), noi (we), voi (you plural), loro (they).",https://www.lawlessitalian.com/grammar/pronouns/subject-pronouns/
Marco finisce i compiti ogni sera.,Marco ___ i compiti ogni sera.,Marco finishes his homework every evening.,,,finisco,finisci,finisce,finiamo,C,A1,Presente indicativo: verbi regolari -ire,"Regular -ire verbs conjugate: io finisco, tu finisci, lui/lei finisce, noi finiamo, voi finite, loro finiscono.",https://www.lawlessitalian.com/grammar/verbs/present-indicative/
La primavera è la mia stagione preferita.,La ___ è la mia stagione preferita.,Spring is my favorite season.,,,estate,inverno,primavera,autunno,C,A1,Stagioni (vocabolario),"The four seasons in Italian: primavera (spring), estate (summer), autunno (autumn), inverno (winter).",https://www.lawlessitalian.com/vocabulary/seasons/
Questo cane è molto simpatico.,___ cane è molto simpatico.,This dog is very nice.,,,Questa,Questo,Questi,Queste,B,A1,Dimostrativi,"Demonstrative adjectives must agree with the noun: questo (masculine singular), questa (feminine singular), questi (masculine plural), queste (feminine plural).",https://www.lawlessitalian.com/grammar/adjectives/demonstrative-adjectives/
Le macchine rosse sono veloci.,Le ___ rosse sono veloci.,The red cars are fast.,,,macchina,macchine,macchino,macchini,B,A1,Nomi (genere e numero),Feminine nouns ending in -a form the plural by changing -a to -e: la macchina → le macchine.,https://www.lawlessitalian.com/grammar/nouns/
Il letto è nella camera da letto.,Il letto è nella camera da ___.,The bed is in the bedroom.,,,cucina,bagno,letto,pranzo,C,A1,Casa (vocabolario),"Rooms in the house: camera da letto (bedroom), cucina (kitchen), bagno (bathroom), sala da pranzo (dining room).",https://www.lawlessitalian.com/vocabulary/house/
Mia sorella ha diciott'anni.,Mia sorella ___ diciott'anni.,My sister is eighteen years old.,,,è,ha,sono,ho,B,A1,Verbo avere (to have),"Age is expressed with the verb avere: io ho, tu hai, lui/lei ha, noi abbiamo, voi avete, loro hanno + anni.",https://www.lawlessitalian.com/grammar/verbs/avere/
Il mio gatto dorme sul divano.,Il mio ___ dorme sul divano.,My cat sleeps on the sofa.,,,cane,pesce,gatto,uccello,C,A1,Animali (vocabolario),"Common pets: il gatto (cat), il cane (dog), il pesce (fish), l'uccello (bird).",https://www.lawlessitalian.com/vocabulary/animals/
I bambini scrivono una lettera alla nonna.,I bambini ___ una lettera alla nonna.,The children write a letter to their grandmother.,,,scrivo,scrivi,scrive,scrivono,D,A1,Presente indicativo: verbi regolari -ere,"Regular -ere verbs conjugate: io scrivo, tu scrivi, lui/lei scrive, noi scriviamo, voi scrivete, loro scrivono.",https://www.lawlessitalian.com/grammar/verbs/present-indicative/
Oggi il tempo è bello e c'è il sole.,Oggi il ___ è bello e c'è il sole.,Today the weather is nice and it's sunny.,,,tempo,cielo,mare,vento,A,A1,Meteo (vocabolario),Il tempo means 'weather' in Italian.,https://www.lawlessitalian.com/vocabulary/weather/
Io indosso una giacca nera per la festa.,Io indosso una ___ nera per la festa.,I wear a black jacket for the party.,,,giacca,giacche,giacco,maglietta,A,A1,Abbigliamento (vocabolario),"Giacca is feminine singular, agreeing with 'una' and 'nera'.",https://www.lawlessitalian.com/vocabulary/clothing/
Noi ceniamo sempre alle otto di sera.,Noi ceniamo sempre alle otto di ___.,We always have dinner at eight in the evening.,,,sera,mattina,pomeriggio,notte,A,A1,Espressioni di tempo,Di sera means 'in the evening' and is the appropriate time for dinner.,https://www.lawlessitalian.com/vocabulary/time/
Tu hai un cane molto dolce.,Tu ___ un cane molto dolce.,You have a very sweet dog.,,,hai,ho,ha,hanno,A,A1,Verbo avere (to have),The second person singular (tu) form of avere is hai.,https://www.lawlessitalian.com/grammar/avere/
Il mio compleanno è in luglio.,Il mio compleanno è in ___.,My birthday is in July.,,,luglio,gennaio,marzo,ottobre,A,A1,Mesi (vocabolario),Luglio is the Italian word for July.,https://www.lawlessitalian.com/vocabulary/months/
Io studio matematica all'università.,Io ___ matematica all'università.,I study mathematics at university.,,,studio,studi,studia,studiano,A,A1,Presente indicativo: verbi regolari -are,The first person singular (io) form of studiare is studio.,https://www.lawlessitalian.com/grammar/present-tense/
Io vado a letto alle undici di sera.,Write: I go to bed at eleven in the evening.,I go to bed at eleven in the evening.,,Vado a letto alle undici di sera,Io vado a letto alle undici di sera.,Io vado al letto alle undici di notte.,Io dormo alle undici di sera.,Io mi addormento alle undici.,A,A1,Routine quotidiana,Andare a letto is the standard expression for 'to go to bed'.,https://www.lawlessitalian.com/vocabulary/daily-routine/
La mia borsa è di colore verde scuro.,La mia borsa è di colore ___ scuro.,My bag is dark green in color.,,,verde,verdi,rosa,rosso,A,A1,Colori (vocabolario),Verde is invariable for gender and remains the same in both masculine and feminine forms.,https://www.lawlessitalian.com/vocabulary/colors/
Mi fanno male le gambe dopo la corsa.,Mi fanno male le ___ dopo la corsa.,My legs hurt after the run.,,,gambe,braccia,mani,piedi,A,A1,Corpo (vocabolario),Le gambe means 'legs' and is the logical body part that would hurt after running.,https://www.lawlessitalian.com/vocabulary/body-parts/
Il mio colore preferito è il rosso.,Il mio colore preferito è il ___.,My favorite color is red.,,,rosso,rossa,rossi,rosse,A,A1,Colori (vocabolario),Colors used as nouns with the definite article remain in masculine singular form. 'Il rosso' means 'the red (color)'.,https://www.lawlessitalian.com/vocabulary/colors/
Il lunedì io vado sempre al lavoro.,Il ___ io vado sempre al lavoro.,On Mondays I always go to work.,,,lunedì,martedì,mercoledì,giovedì,A,A1,Giorni della settimana (vocabolario),Days of the week with the definite article express habitual actions. 'Il lunedì' means 'on Mondays'.,https://www.lawlessitalian.com/vocabulary/days-week/
La domenica noi non lavoriamo.,La ___ noi non lavoriamo.,On Sundays we don't work.,,,domenica,sabato,venerdì,settimana,A,A1,Giorni della settimana (vocabolario),"Sunday is feminine in Italian ('la domenica'). With the definite article, it expresses habitual actions on Sundays.",https://www.lawlessitalian.com/vocabulary/days-week/
I bambini dormono dalle otto alle sette.,I bambini ___ dalle otto alle sette.,The children sleep from eight to seven.,,,dormono,dormiamo,dormite,dorme,A,A1,Presente indicativo: verbi regolari -ire,"For -ire verbs in present tense, the third person plural (loro/they) form ends in -ono. 'Dormire' becomes 'dormono'.",https://www.lawlessitalian.com/grammar/verbs/present-tense/
